5F1F	弟	TEI	otouto	younger brother
4F4E	低	TEI	hiku(i), hiku(meru/maru)	low, to lower
8EE2	転	TEN	koro(bu), koro(garu/geru), koro(gasu)	to roll, to turn
7530	田	DEN	ta	rice field
90FD	都	TO, TSU	miyako	capital
5EA8	度	DO	tabi	measure, degree
7B54	答	TOU	kota(e), kota(eru)	answer
51AC	冬	TOU	fuyu	winter
982D	頭	TOU, ZU	atama, kashira	head, master540C
540C	同	DOU	ona(ji)	same
52D5	動	DOU	ugo(ku), ugo(kasu)	to move
5802	堂	DOU	-	room, hall, temple
50CD	働	DOU	hatara(ku)	to work
7279	特	TOKU	-	special
8089	肉	NIKU	-	meat
58F2	売	BAI	u(ru), u(reru)	to sell
767A	発	HATSU, HOTSU	-	start, to leave, issue
98EF	飯	HAN	meshi	meal, cooked rice
75C5	病	BYOU	ya(mu), yamai	 sickness, illness
54C1	品	HIN	shina	product, quality
4E0D	不	FU, BU	-	not
98A8	風	FUU	kaze	wind, style
670D	服	FUKU	-	clothing
7269	物	BUTSU, MOTSU	mono	thing
6587	文	BUN, MON	fumi	literature, sentence, letter
5225	別	BETSU	waka(reru)	difference, to part
52C9	勉	BEN	-	hard work, effort
4FBF	便	BEN, BIN	tayo(ri)	comfort, excrement, message
6B69	歩	HO, BU	aru(ku), ayu(mu)	to walk
65B9	方	HOU	kata	direction, person
59B9	妹	MAI	imouto	younger sister
5473	味	MI	aji, aji(waru)	taste, to savor, to enjoy
6C11	民	MIN	tami	nation, people
660E	明	MEI	a(kari), aka(rui)	light, brightness, to be open
9580	門	MON	kado	gate
554F	問	MON	to(i), to(u)	question, take care of
591C	夜	YA	yoro, yo~	night
91CE	野	YA	no	field
85AC	薬	YAKU	kusuri	drug, medicine, chemical
6709	有	YUU, U	a(ru)	to exist, to be, to have
66DC	曜	YOU	-	weekday
7528	用	YOU	mochi(iru)	issue, to use
6D0B	洋	YOU	-	ocean, western, foreign
7406	理	RI	-	reason, principle
65C5	旅	RYO	tabi	trip, travel
6599	料	RYOU	-	material, charge
529B	力	RYOKU, RIKI	chikara	power, force
6797	林	RIN	hayashi	woods
